A,B,C,D,E,F,G,H,I,J,K,L,M
3.00E+00,0.00E+00,2.20E+01,1.00E+00,0.00E+00,7.25E+00,0.00E+00,1.00E+00,3.00E+00,9.00E+00,0.00E+00,2.00E+00,0.00E+00
1.00E+00,1.00E+00,3.80E+01,1.00E+00,0.00E+00,7.13E+01,1.00E+00,3.00E+00,0.00E+00,8.00E+00,1.00E+00,2.00E+00,0.00E+00
3.00E+00,1.00E+00,2.60E+01,0.00E+00,0.00E+00,7.92E+00,0.00E+00,2.00E+00,3.00E+00,1.60E+01,0.00E+00,1.00E+00,1.00E+00
1.00E+00,1.00E+00,3.50E+01,1.00E+00,0.00E+00,5.31E+01,0.00E+00,3.00E+00,1.00E+00,6.00E+00,1.00E+00,2.00E+00,0.00E+00
3.00E+00,0.00E+00,3.50E+01,0.00E+00,0.00E+00,8.05E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,8.46E+00,2.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,5.40E+01,0.00E+00,0.00E+00,5.19E+01,0.00E+00,1.00E+00,1.00E+00,5.00E+00,2.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.00E+00,3.00E+00,1.00E+00,2.11E+01,0.00E+00,4.00E+00,3.00E+00,6.00E+00,0.00E+00,5.00E+00,0.00E+00
3.00E+00,1.00E+00,2.70E+01,0.00E+00,2.00E+00,1.11E+01,0.00E+00,3.00E+00,3.00E+00,6.00E+00,0.00E+00,3.00E+00,0.00E+00
2.00E+00,1.00E+00,1.40E+01,1.00E+00,0.00E+00,3.01E+01,1.00E+00,3.00E+00,2.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
3.00E+00,1.00E+00,4.00E+00,1.00E+00,1.00E+00,1.67E+01,0.00E+00,2.00E+00,0.00E+00,7.00E+00,0.00E+00,3.00E+00,0.00E+00
1.00E+00,1.00E+00,5.80E+01,0.00E+00,0.00E+00,2.66E+01,0.00E+00,2.00E+00,1.00E+00,6.00E+00,1.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.00E+01,0.00E+00,0.00E+00,8.05E+00,0.00E+00,1.00E+00,3.00E+00,9.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,3.90E+01,1.00E+00,5.00E+00,3.13E+01,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,7.00E+00,0.00E+00
3.00E+00,1.00E+00,1.40E+01,0.00E+00,0.00E+00,7.85E+00,0.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,1.00E+00,5.50E+01,0.00E+00,0.00E+00,1.60E+01,0.00E+00,3.00E+00,2.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.00E+00,4.00E+00,1.00E+00,2.91E+01,2.00E+00,4.00E+00,3.00E+00,6.00E+00,0.00E+00,6.00E+00,0.00E+00
2.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,1.30E+01,0.00E+00,1.00E+00,2.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,3.10E+01,1.00E+00,0.00E+00,1.80E+01,0.00E+00,0.00E+00,3.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
3.00E+00,1.00E+00,2.97E+01,0.00E+00,0.00E+00,7.22E+00,1.00E+00,3.00E+00,2.00E+00,4.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,3.50E+01,0.00E+00,0.00E+00,2.60E+01,0.00E+00,1.00E+00,2.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,3.40E+01,0.00E+00,0.00E+00,1.30E+01,0.00E+00,1.00E+00,2.00E+00,6.00E+00,2.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,1.50E+01,0.00E+00,0.00E+00,8.03E+00,2.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,2.80E+01,0.00E+00,0.00E+00,3.55E+01,0.00E+00,1.00E+00,1.00E+00,6.00E+00,1.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,8.00E+00,3.00E+00,1.00E+00,2.11E+01,0.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,5.00E+00,0.00E+00
3.00E+00,1.00E+00,3.80E+01,1.00E+00,5.00E+00,3.14E+01,0.00E+00,3.00E+00,3.00E+00,6.00E+00,0.00E+00,7.00E+00,0.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,7.22E+00,1.00E+00,1.00E+00,2.00E+00,4.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,1.90E+01,3.00E+00,2.00E+00,2.63E+02,0.00E+00,1.00E+00,1.00E+00,5.00E+00,1.00E+00,6.00E+00,0.00E+00
3.00E+00,1.00E+00,2.97E+01,0.00E+00,0.00E+00,7.88E+00,2.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,7.90E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,4.00E+01,0.00E+00,0.00E+00,2.77E+01,1.00E+00,5.00E+00,0.00E+00,8.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,1.00E+00,2.97E+01,1.00E+00,0.00E+00,1.47E+02,1.00E+00,3.00E+00,0.00E+00,8.00E+00,2.00E+00,2.00E+00,0.00E+00
3.00E+00,1.00E+00,2.97E+01,0.00E+00,0.00E+00,7.75E+00,2.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,6.60E+01,0.00E+00,0.00E+00,1.05E+01,0.00E+00,1.00E+00,3.00E+00,1.00E+01,0.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,2.80E+01,1.00E+00,0.00E+00,8.22E+01,1.00E+00,1.00E+00,0.00E+00,8.00E+00,0.00E+00,2.00E+00,0.00E+00
1.00E+00,0.00E+00,4.20E+01,1.00E+00,0.00E+00,5.20E+01,0.00E+00,1.00E+00,1.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,7.23E+00,1.00E+00,1.00E+00,2.00E+00,4.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.10E+01,0.00E+00,0.00E+00,8.05E+00,0.00E+00,1.00E+00,3.00E+00,1.00E+01,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,1.80E+01,2.00E+00,0.00E+00,1.80E+01,0.00E+00,0.00E+00,3.00E+00,6.00E+00,0.00E+00,3.00E+00,0.00E+00
3.00E+00,1.00E+00,1.40E+01,1.00E+00,0.00E+00,1.12E+01,1.00E+00,2.00E+00,2.00E+00,4.00E+00,0.00E+00,2.00E+00,0.00E+00
3.00E+00,1.00E+00,4.00E+01,1.00E+00,0.00E+00,9.47E+00,0.00E+00,3.00E+00,0.00E+00,4.00E+00,0.00E+00,2.00E+00,0.00E+00
2.00E+00,1.00E+00,2.70E+01,1.00E+00,0.00E+00,2.10E+01,0.00E+00,3.00E+00,1.00E+00,5.00E+00,0.00E+00,2.00E+00,0.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,7.90E+00,1.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,1.00E+00,3.00E+00,1.00E+00,2.00E+00,4.16E+01,1.00E+00,2.00E+00,3.00E+00,1.30E+01,0.00E+00,4.00E+00,0.00E+00
3.00E+00,1.00E+00,1.90E+01,0.00E+00,0.00E+00,7.88E+00,2.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,8.05E+00,0.00E+00,1.00E+00,3.00E+00,1.50E+01,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.97E+01,1.00E+00,0.00E+00,1.55E+01,2.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
3.00E+00,1.00E+00,2.97E+01,0.00E+00,0.00E+00,7.75E+00,2.00E+00,2.00E+00,1.00E+00,5.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.97E+01,2.00E+00,0.00E+00,2.17E+01,1.00E+00,1.00E+00,2.00E+00,4.00E+00,0.00E+00,3.00E+00,0.00E+00
3.00E+00,1.00E+00,1.80E+01,1.00E+00,0.00E+00,1.78E+01,0.00E+00,3.00E+00,3.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
3.00E+00,0.00E+00,7.00E+00,4.00E+00,1.00E+00,3.97E+01,0.00E+00,4.00E+00,3.00E+00,7.00E+00,0.00E+00,6.00E+00,0.00E+00
3.00E+00,0.00E+00,2.10E+01,0.00E+00,0.00E+00,7.80E+00,0.00E+00,1.00E+00,3.00E+00,1.00E+01,0.00E+00,1.00E+00,1.00E+00
1.00E+00,1.00E+00,4.90E+01,1.00E+00,0.00E+00,7.67E+01,1.00E+00,3.00E+00,0.00E+00,8.00E+00,2.00E+00,2.00E+00,0.00E+00
2.00E+00,1.00E+00,2.90E+01,1.00E+00,0.00E+00,2.60E+01,0.00E+00,3.00E+00,2.00E+00,4.00E+00,0.00E+00,2.00E+00,0.00E+00
1.00E+00,0.00E+00,6.50E+01,0.00E+00,1.00E+00,6.20E+01,1.00E+00,1.00E+00,1.00E+00,6.00E+00,2.00E+00,2.00E+00,0.00E+00
1.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,3.55E+01,0.00E+00,1.00E+00,1.00E+00,5.00E+00,1.00E+00,1.00E+00,1.00E+00
2.00E+00,1.00E+00,2.10E+01,0.00E+00,0.00E+00,1.05E+01,0.00E+00,2.00E+00,3.00E+00,1.00E+01,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.85E+01,0.00E+00,0.00E+00,7.23E+00,1.00E+00,1.00E+00,2.00E+00,4.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,1.00E+00,5.00E+00,1.00E+00,2.00E+00,2.78E+01,0.00E+00,2.00E+00,3.00E+00,1.00E+01,0.00E+00,4.00E+00,0.00E+00
3.00E+00,0.00E+00,1.10E+01,5.00E+00,2.00E+00,4.69E+01,0.00E+00,4.00E+00,3.00E+00,7.00E+00,0.00E+00,8.00E+00,0.00E+00
3.00E+00,0.00E+00,2.20E+01,0.00E+00,0.00E+00,7.23E+00,1.00E+00,1.00E+00,2.00E+00,4.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,1.00E+00,3.80E+01,0.00E+00,0.00E+00,8.00E+01,3.62E-01,2.00E+00,1.00E+00,6.00E+00,2.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,4.50E+01,1.00E+00,0.00E+00,8.35E+01,0.00E+00,1.00E+00,3.00E+00,5.00E+00,1.00E+00,2.00E+00,0.00E+00
3.00E+00,0.00E+00,4.00E+00,3.00E+00,2.00E+00,2.79E+01,0.00E+00,4.00E+00,3.00E+00,6.00E+00,0.00E+00,6.00E+00,0.00E+00
1.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,2.77E+01,1.00E+00,1.00E+00,0.00E+00,8.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.97E+01,1.00E+00,1.00E+00,1.52E+01,1.00E+00,4.00E+00,2.00E+00,4.00E+00,0.00E+00,3.00E+00,0.00E+00
2.00E+00,1.00E+00,2.90E+01,0.00E+00,0.00E+00,1.05E+01,0.00E+00,3.00E+00,3.00E+00,1.00E+01,1.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,1.90E+01,0.00E+00,0.00E+00,8.16E+00,0.00E+00,1.00E+00,3.00E+00,9.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,1.70E+01,4.00E+00,2.00E+00,7.92E+00,0.00E+00,2.00E+00,3.00E+00,7.00E+00,0.00E+00,7.00E+00,0.00E+00
3.00E+00,0.00E+00,2.60E+01,2.00E+00,0.00E+00,8.66E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,3.00E+00,0.00E+00
2.00E+00,0.00E+00,3.20E+01,0.00E+00,0.00E+00,1.05E+01,0.00E+00,1.00E+00,3.00E+00,1.00E+01,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,1.60E+01,5.00E+00,2.00E+00,4.69E+01,0.00E+00,2.00E+00,3.00E+00,7.00E+00,0.00E+00,8.00E+00,0.00E+00
2.00E+00,0.00E+00,2.10E+01,0.00E+00,0.00E+00,7.35E+01,0.00E+00,1.00E+00,3.00E+00,1.20E+01,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.60E+01,1.00E+00,0.00E+00,1.45E+01,1.00E+00,1.00E+00,2.00E+00,4.00E+00,0.00E+00,2.00E+00,0.00E+00
3.00E+00,0.00E+00,3.20E+01,0.00E+00,0.00E+00,5.65E+01,0.00E+00,1.00E+00,1.00E+00,4.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.50E+01,0.00E+00,0.00E+00,7.65E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,1.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,7.90E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,8.05E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,8.30E-01,0.00E+00,2.00E+00,2.90E+01,0.00E+00,4.00E+00,2.00E+00,6.00E+00,0.00E+00,3.00E+00,0.00E+00
3.00E+00,1.00E+00,3.00E+01,0.00E+00,0.00E+00,1.25E+01,0.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
